trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
1,2024-10-29 10:19:00,2024-10-29 11:09:00,long,42425.09,42397.59,42493.84,42397.59,sl,-29.5,-536.36,-1.073,99463.64,london,conservative,bullish,42425.09,42422.59,2024-10-29 10:05:00
2,2024-10-29 11:23:00,2024-10-29 11:39:00,long,42359.74,42331.24,42430.99,42430.99,tp,69.25,1208.4,2.43,100672.03,london,conservative,bullish,42359.74,42356.24,2024-10-29 07:15:00
3,2024-10-29 11:26:00,2024-10-29 11:42:00,long,42367.74,42340.24,42436.49,42436.49,tp,66.75,1207.13,2.427,101879.16,london,conservative,bullish,42367.74,42365.24,2024-10-29 07:25:00
4,2024-10-29 12:08:00,2024-10-29 14:10:00,short,42421.84,42459.34,42328.09,42328.09,tp,91.75,1246.32,2.447,103125.48,london,conservative,bearish,42434.34,42421.84,2024-10-29 12:00:00
5,2024-10-29 12:31:00,2024-10-29 13:16:00,long,42430.84,42390.34,42532.09,42390.34,sl,-42.5,-534.55,-1.049,102590.93,london,conservative,bullish,42430.84,42415.34,2024-10-29 12:25:00
6,2024-10-29 13:19:00,2024-10-29 14:00:00,long,42389.84,42352.34,42483.59,42352.34,sl,-39.5,-533.75,-1.053,102057.18,london,conservative,bullish,42389.84,42377.34,2024-10-29 11:30:00
7,2024-10-29 14:00:00,2024-10-29 14:34:00,short,42382.84,42425.84,42275.34,42275.34,tp,105.5,1236.69,2.453,103293.87,london,conservative,bearish,42400.84,42382.84,2024-10-29 13:20:00
8,2024-10-29 14:25:00,2024-10-29 16:30:00,short,42315.34,42355.84,42214.09,42214.09,tp,99.25,1250.52,2.451,104544.39,london,conservative,bearish,42330.84,42315.34,2024-10-29 14:15:00
9,2024-10-29 14:54:00,2024-10-29 15:10:00,long,42303.84,42268.84,42391.34,42268.84,sl,-37.0,-545.98,-1.057,103998.41,london,conservative,bullish,42303.84,42293.84,2024-10-29 14:45:00
10,2024-10-29 15:19:00,2024-10-29 16:30:00,short,42291.84,42323.34,42213.09,42213.09,tp,76.75,1251.73,2.437,105250.14,london,conservative,bearish,42298.34,42291.84,2024-10-29 15:00:00
11,2024-10-29 16:30:00,2024-10-29 16:50:00,short,42257.84,42293.09,42169.715,42293.09,sl,-37.25,-556.11,-1.057,104694.03,london,conservative,bearish,42268.09,42257.84,2024-10-29 15:40:00
12,2024-10-29 18:17:00,2024-10-29 22:51:00,short,42368.59,42413.09,42257.34,42257.34,tp,109.25,1285.15,2.455,105979.18,london,conservative,bearish,42388.09,42368.59,2024-10-29 18:10:00
13,2024-10-29 19:03:00,2024-10-29 20:00:00,short,42340.59,42382.59,42235.59,42382.59,sl,-44.0,-548.4,-1.048,105430.78,new_york,conservative,bearish,42357.59,42340.59,2024-10-29 18:55:00
14,2024-10-29 20:00:00,2024-10-29 22:51:00,long,42304.09,42260.09,42414.09,42260.09,sl,-46.0,-544.4,-1.045,104886.38,new_york,conservative,bullish,42304.09,42285.09,2024-10-29 16:55:00
15,2024-10-29 22:58:00,2024-10-30 03:40:00,long,42260.09,42223.84,42350.715,42350.715,tp,88.62,1282.15,2.445,106168.53,new_york,conservative,bullish,42260.09,42248.84,2024-10-29 16:50:00
16,2024-10-30 10:18:00,2024-10-30 13:30:00,short,42324.2,42350.2,42259.2,42259.2,tp,63.0,1286.27,2.423,107454.8,london,conservative,bearish,42325.2,42324.2,2024-10-30 05:40:00
17,2024-10-30 11:35:00,2024-10-30 12:45:00,short,42338.95,42365.2,42273.325,42273.325,tp,63.62,1286.66,2.424,108741.46,london,conservative,bearish,42340.2,42338.95,2024-10-30 05:25:00
18,2024-10-30 12:45:00,2024-10-30 13:31:00,short,42302.55,42334.3,42223.175,42223.175,tp,77.38,1309.35,2.437,110050.81,london,conservative,bearish,42309.3,42302.55,2024-10-30 12:00:00
19,2024-10-30 14:57:00,2024-10-30 16:36:00,short,42193.3,42239.3,42078.3,42239.3,sl,-48.0,-574.18,-1.043,109476.63,london,conservative,bearish,42214.3,42193.3,2024-10-30 14:50:00
20,2024-10-30 16:29:00,2024-10-30 16:30:00,long,42211.8,42183.05,42283.675,42183.05,sl,-30.75,-588.53,-1.07,108888.1,london,conservative,bullish,42211.8,42208.05,2024-10-30 16:15:00
21,2024-10-30 17:36:00,2024-10-30 18:39:00,short,42420.55,42451.55,42343.05,42451.55,sl,-33.0,-579.57,-1.065,108308.53,london,conservative,bearish,42426.55,42420.55,2024-10-30 17:25:00
22,2024-10-30 18:06:00,2024-10-30 18:40:00,long,42368.55,42323.8,42480.425,42480.425,tp,109.88,1336.77,2.455,109645.3,london,conservative,bullish,42368.55,42348.8,2024-10-30 17:00:00
23,2024-10-30 18:48:00,2024-10-30 19:31:00,long,42444.55,42393.55,42572.05,42393.55,sl,-53.0,-569.73,-1.039,109075.57,london,conservative,bullish,42444.55,42418.55,2024-10-30 18:40:00
24,2024-10-30 19:22:00,2024-10-30 19:41:00,long,42407.55,42376.55,42485.05,42376.55,sl,-33.0,-583.6,-1.065,108491.98,new_york,conservative,bullish,42407.55,42401.55,2024-10-30 18:35:00
25,2024-10-30 20:02:00,2024-10-30 22:03:00,long,42337.55,42247.05,42563.8,42247.05,sl,-92.5,-554.45,-1.022,107937.53,new_york,conservative,bullish,42337.55,42272.05,2024-10-30 16:55:00
26,2024-10-30 20:08:00,2024-10-30 20:40:00,short,42351.55,42387.05,42262.8,42262.8,tp,86.75,1325.59,2.444,109263.12,new_york,conservative,bearish,42362.05,42351.55,2024-10-30 19:55:00
27,2024-10-30 21:03:00,2024-10-30 22:57:00,short,42298.05,42352.8,42161.175,42161.175,tp,134.88,1352.66,2.463,110615.78,new_york,conservative,bearish,42327.8,42298.05,2024-10-30 20:35:00
28,2024-10-30 22:03:00,2024-10-30 22:37:00,short,42333.05,42383.55,42206.8,42206.8,tp,124.25,1344.15,2.46,111959.93,new_york,conservative,bearish,42358.55,42333.05,2024-10-30 20:30:00
29,2024-10-30 22:37:00,2024-10-30 22:38:00,short,42302.55,42338.05,42213.8,42213.8,tp,86.75,1351.43,2.444,113311.37,new_york,conservative,bearish,42313.05,42302.55,2024-10-30 21:30:00
30,2024-10-30 22:38:00,2024-10-30 23:00:00,short,42262.55,42314.55,42132.55,42132.55,tp,128.0,1377.95,2.462,114689.32,new_york,conservative,bearish,42289.55,42262.55,2024-10-30 22:05:00
31,2024-10-30 22:57:00,2024-10-30 22:59:00,short,42244.55,42274.55,42169.55,42169.55,tp,73.0,1378.62,2.433,116067.94,new_york,conservative,bearish,42249.55,42244.55,2024-10-30 22:20:00
32,2024-10-31 10:26:00,2024-10-31 10:40:00,short,42013.76,42044.76,41936.26,42044.76,sl,-33.0,-617.78,-1.065,115450.16,london,conservative,bearish,42019.76,42013.76,2024-10-31 10:15:00
33,2024-10-31 10:38:00,2024-10-31 12:00:00,short,42039.26,42068.76,41965.51,41965.51,tp,71.75,1411.5,2.432,116861.66,london,conservative,bearish,42043.76,42039.26,2024-10-31 10:00:00
34,2024-10-31 10:45:00,2024-10-31 11:25:00,short,42043.76,42072.51,41971.885,41971.885,tp,69.88,1402.97,2.43,118264.63,london,conservative,bearish,42047.51,42043.76,2024-10-31 09:55:00
35,2024-10-31 11:40:00,2024-10-31 15:13:00,short,41994.76,42023.26,41923.51,42023.26,sl,-30.5,-625.27,-1.07,117639.37,london,conservative,bearish,41998.26,41994.76,2024-10-31 11:20:00
36,2024-10-31 12:48:00,2024-10-31 13:03:00,short,41966.76,41999.76,41884.26,41999.76,sl,-35.0,-627.16,-1.061,117012.21,london,conservative,bearish,41974.76,41966.76,2024-10-31 12:05:00
37,2024-10-31 13:03:00,2024-10-31 16:29:00,long,41962.01,41930.76,42040.135,41930.76,sl,-33.25,-625.83,-1.064,116386.38,london,conservative,bullish,41962.01,41955.76,2024-10-31 12:45:00
38,2024-10-31 15:13:00,2024-10-31 15:58:00,long,41990.76,41958.26,42072.01,41958.26,sl,-34.5,-621.06,-1.062,115765.31,london,conservative,bullish,41990.76,41983.26,2024-10-31 14:55:00
39,2024-10-31 15:58:00,2024-10-31 16:29:00,short,42022.76,42067.76,41910.26,41910.26,tp,110.5,1429.02,2.456,117194.34,london,conservative,bearish,42042.76,42022.76,2024-10-31 10:50:00
40,2024-10-31 16:43:00,2024-10-31 16:48:00,short,41986.76,42020.76,41901.76,41901.76,tp,83.0,1430.46,2.441,118624.8,london,conservative,bearish,41995.76,41986.76,2024-10-31 15:50:00
41,2024-10-31 17:22:00,2024-10-31 18:01:00,short,41910.01,41975.01,41747.51,41747.51,tp,160.5,1464.56,2.469,120089.36,london,conservative,bearish,41950.01,41910.01,2024-10-31 17:10:00
42,2024-10-31 19:05:00,2024-10-31 19:14:00,short,41836.01,41870.01,41751.01,41870.01,sl,-36.0,-635.77,-1.059,119453.59,new_york,conservative,bearish,41845.01,41836.01,2024-10-31 17:45:00
43,2024-10-31 19:58:00,2024-10-31 20:10:00,long,41905.76,41879.01,41972.635,41972.635,tp,64.88,1448.51,2.425,120902.1,new_york,conservative,bullish,41905.76,41904.01,2024-10-31 19:50:00
44,2024-10-31 20:33:00,2024-10-31 20:43:00,long,41935.51,41896.26,42033.635,41896.26,sl,-41.25,-635.31,-1.051,120266.79,new_york,conservative,bullish,41935.51,41921.26,2024-10-31 20:05:00
45,2024-10-31 20:49:00,2024-10-31 22:56:00,long,41893.01,41848.51,42004.26,41848.51,sl,-46.5,-628.36,-1.045,119638.43,new_york,conservative,bullish,41893.01,41873.51,2024-10-31 19:45:00
46,2024-10-31 21:51:00,2024-10-31 22:24:00,long,41900.01,41874.51,41963.76,41963.76,tp,61.75,1456.17,2.422,121094.6,new_york,conservative,bullish,41900.01,41899.51,2024-10-31 21:45:00
47,2024-10-31 22:24:00,2024-10-31 22:40:00,short,41946.51,41979.01,41865.26,41865.26,tp,79.25,1484.08,2.438,122578.68,new_york,conservative,bearish,41954.01,41946.51,2024-10-31 20:35:00
48,2024-10-31 22:44:00,2024-10-31 22:49:00,short,41897.01,41949.01,41767.01,41949.01,sl,-54.0,-639.73,-1.038,121938.96,new_york,conservative,bearish,41924.01,41897.01,2024-10-31 22:35:00
49,2024-11-01 10:19:00,2024-11-01 10:52:00,short,41803.23,41835.23,41723.23,41835.23,sl,-34.0,-647.8,-1.062,121291.15,london,conservative,bearish,41810.23,41803.23,2024-11-01 10:10:00
50,2024-11-01 11:01:00,2024-11-01 12:51:00,long,41820.23,41793.23,41887.73,41887.73,tp,65.5,1471.22,2.426,122762.37,london,conservative,bullish,41820.23,41818.23,2024-11-01 10:55:00
51,2024-11-01 13:36:00,2024-11-01 14:35:00,long,41895.23,41869.73,41958.98,41958.98,tp,61.75,1486.39,2.422,124248.76,london,conservative,bullish,41895.23,41894.73,2024-11-01 13:10:00
52,2024-11-01 14:28:00,2024-11-01 15:30:00,long,41941.48,41909.23,42022.105,41909.23,sl,-34.25,-651.88,-1.062,123596.88,london,conservative,bullish,41941.48,41934.23,2024-11-01 14:20:00
53,2024-11-01 14:49:00,2024-11-01 15:17:00,long,41952.23,41923.73,42023.48,41923.73,sl,-30.5,-664.84,-1.07,122932.04,london,conservative,bullish,41952.23,41948.73,2024-11-01 14:35:00
54,2024-11-01 15:33:00,2024-11-01 15:42:00,short,41943.98,41989.23,41830.855,41989.23,sl,-47.25,-641.83,-1.044,122290.21,london,conservative,bearish,41964.23,41943.98,2024-11-01 15:05:00
55,2024-11-01 16:06:00,2024-11-01 16:30:00,long,41970.23,41939.73,42046.48,41939.73,sl,-32.5,-651.55,-1.066,121638.67,london,conservative,bullish,41970.23,41964.73,2024-11-01 15:45:00
56,2024-11-01 16:29:00,2024-11-01 16:33:00,short,41976.23,42004.23,41906.23,42004.23,sl,-30.0,-655.13,-1.071,120983.54,london,conservative,bearish,41979.23,41976.23,2024-11-01 16:10:00
57,2024-11-01 16:58:00,2024-11-01 17:17:00,long,42066.48,42017.23,42189.605,42189.605,tp,121.12,1487.73,2.459,122471.27,london,conservative,bullish,42066.48,42042.23,2024-11-01 16:40:00
